Total companii: 967
ticker | nume_complet | bursa
GOLTS.IS | Goltas Goller Bolgesi Cimento Sanayi ve Ticaret AS | Istanbul Stock Exchange
GOODY.IS | Goodyear Lastikleri TAS | Istanbul Stock Exchange
GOP.WA | Games Operators SA | Warsaw Stock Exchange
GOZDE.IS | Gozde Girisim Sermayesi Yatirim Ortakligi AS | Istanbul Stock Exchange
GPPP.WA | Grupa Pracuj SA | Warsaw Stock Exchange
GPRP.WA^I19 | Globalworth Poland Real Estate NV | Warsaw Stock Exchange
GPW.WA | Gielda Papierow Wartosciowych w Warszawie SA | Warsaw Stock Exchange
GRANIT.BU | Granit Bank Nyrt | Budapest Stock Exchange
GREC.WA^J14 | Greeneco SA w likwidacji | Warsaw Stock Exchange
GRIP.WA^I19 | Gino Rossi SA w likwidacji | Warsaw Stock Exchange
GRLP.WA^C17 | Graal SA | Warsaw Stock Exchange
GRNP.WA | Grodno SA | Warsaw Stock Exchange
GRSEL.IS | Gur-Sel Turizm Tasimacilik ve Servis Ticaret AS | Istanbul Stock Exchange
GRTHO.IS | Grainturk Holding AS | Istanbul Stock Exchange
GRVP.WA^A19 | Gorenje doo | Warsaw Stock Exchange
GRXP.WA | GreenX Metals Ltd | Warsaw Stock Exchange
GSDHO.IS | GSD Holding AS | Istanbul Stock Exchange
GSPA.BU | Graphisoft Park SE Ingatlanfejleszto Europai Rt | Budapest Stock Exchange
GSRAY.IS | Galatasaray Sportif Sinai ve Ticari Yatirimlar AS | Istanbul Stock Exchange
GTCP.WA | Globe Trade Centre SA | Warsaw Stock Exchange
GTN.WA | Getin Holding SA | Warsaw Stock Exchange
GUBRF.IS | Gubre Fabrikalari TAS | Istanbul Stock Exchange
GVTP.WA | Grupa Virtus SA | Warsaw Stock Exchange
GWIND.IS | Galata Wind Enerji Anonim Sirket | Istanbul Stock Exchange
HALKB.IS | Turkiye Halk Bankasi AS | Istanbul Stock Exchange
HBPP.WA^H13 | Hydrobudowa Polska SA w upadlosci likwidacyjnej | Warsaw Stock Exchange
HDFGS.IS | Hedef Girisim Sermayesi Yatirim Ortakligi AS | Istanbul Stock Exchange
HDR.WA | Przedsiebiorstwo Hydrauliki Silowej Hydrotor SA | Warsaw Stock Exchange
HEKTS.IS | Hektas Ticaret TAS | Istanbul Stock Exchange
HEL.WA | Helio SA | Warsaw Stock Exchange
HLD.WA^D25 | Hollywood SA | Warsaw Stock Exchange
HLGYO.IS | Halk Gayrimenkul Yatirim Ortakligi AS | Istanbul Stock Exchange
HMIP.WA^D25 | HM Inwest SA | Warsaw Stock Exchange
HRPP.WA | Harper Hygienics SA | Warsaw Stock Exchange
HRSP.WA | Herkules SA w restrukturyzacji | Warsaw Stock Exchange
HTM.WA^D17 | Hutmen SA | Warsaw Stock Exchange
HUGP.WA | Huuuge Inc | Warsaw Stock Exchange
HURGZ.IS | Hurriyet Gazetecilik ve Matbaacilik AS | Istanbul Stock Exchange
HWE.WA^F18 | Hawe SA | Warsaw Stock Exchange
HYP.WA^C19 | Hyperion SA | Warsaw Stock Exchange
IBSP.WA | Wise Finance SA | Warsaw Stock Exchange
ICBCT.IS | ICBC Turkey Bank AS | Istanbul Stock Exchange
ICEP.WA | Medinice SA | Warsaw Stock Exchange
ICUGS.IS | Icu Girisim Sermayesi Yatirim Ortakligi AS | Istanbul Stock Exchange
IDE.WA^A21 | Idea Bank SA w upadlosci | Warsaw Stock Exchange
IDEP.WA^K19 | Ideon SA | Warsaw Stock Exchange
IDGP.WA | Indygotech Minerals SA w likwidacji | Warsaw Stock Exchange
IDM.WA | IDM SA | Warsaw Stock Exchange
IDTA.WA^C19 | Indata SA | Warsaw Stock Exchange
IEYHO.IS | Isiklar Enerji ve Yapi Holding AS | Istanbul Stock Exchange
IFCP.WA | Investment Friends Capital SE | Warsaw Stock Exchange
IFI.WA | IFirma SA | Warsaw Stock Exchange
IFRP.WA | Investment Friends SE | Warsaw Stock Exchange
IGNY.BU | 4iG Nyrt | Budapest Stock Exchange
IHEVA.IS | Ihlas Ev Aletleri Imalat Sanayi ve Ticaret AS | Istanbul Stock Exchange
IHGZT.IS | Ihlas Gazetecilik AS | Istanbul Stock Exchange
IHLAS.IS | Ihlas Holding AS | Istanbul Stock Exchange
IHLGM.IS | Ihlas Gayrimenkul Proje Gelistirme ve Ticaret AS | Istanbul Stock Exchange
IHYAY.IS | Ihlas Yayin Holding AS | Istanbul Stock Exchange
IMASM.IS | Imas Makina Sanayi AS | Istanbul Stock Exchange
IMC.WA | IMC SA | Warsaw Stock Exchange
IMEA.WA^E10 | Immoeast AG | Warsaw Stock Exchange
IMPP.WA | Imperio Alternatywna Spolka Inwestycyjna SA | Warsaw Stock Exchange
IMS.WA | IMS SA | Warsaw Stock Exchange
IMXP.WA^D16 | Infovide Matrix SA | Warsaw Stock Exchange
INCP.WA | INC SA | Warsaw Stock Exchange
INDES.IS | Indeks Bilgisayar Sistemleri Muhendislik Sanayi ve Ticaret AS | Istanbul Stock Exchange
INDP.WA^F20 | Indykpol SA | Warsaw Stock Exchange
INFP.WA^I22 | Interferie SA | Warsaw Stock Exchange
INGP.WA | ING Bank Slaski SA | Warsaw Stock Exchange
INK.WA | Instal Krakow SA | Warsaw Stock Exchange
INLP.WA | Introl SA | Warsaw Stock Exchange
INP.WA | Inpro SA | Warsaw Stock Exchange
INVES.IS | Investco Holding AS | Istanbul Stock Exchange
IPE.WA | Ipopema Securities SA | Warsaw Stock Exchange
IPF.WA^B22 | International Personal Finance PLC | Warsaw Stock Exchange
IPLP.WA^E21 | Impel SA | Warsaw Stock Exchange
IPOP.WA | Intersport Polska SA | Warsaw Stock Exchange
IPT.WA^I17 | Inpost SA | Warsaw Stock Exchange
IPXP.WA^K19 | Granges Konin SA | Warsaw Stock Exchange
IRLP.WA | Inter RAO Lietuva AB | Warsaw Stock Exchange
ISCTR.IS | Turkiye Is Bankasi AS | Istanbul Stock Exchange
ISDMR.IS | Iskenderun Demir ve Celik AS | Istanbul Stock Exchange
ISFIN.IS | Is Finansal Kiralama AS | Istanbul Stock Exchange
ISGYO.IS | Is Gayrimenkul Yatirim Ortakligi AS | Istanbul Stock Exchange
ISMEN.IS | Is Yatirim Menkul Degerler AS | Istanbul Stock Exchange
ISYHO.IS^J14 | Isiklar Yatirim Holding AS | Istanbul Stock Exchange
ITB.WA | Interbud Lublin SA | Warsaw Stock Exchange
ITGP.WA^I17 | Integer.pl SA | Warsaw Stock Exchange
ITMP.WA^K22 | Interma Trade SA w likwidacji | Warsaw Stock Exchange
IZB.WA | Izoblok SA | Warsaw Stock Exchange
IZENR.IS | Izdemir Enerji Elektrik Uretim AS | Istanbul Stock Exchange
IZMDC.IS | Izmir Demir Celik Sanayi AS | Istanbul Stock Exchange
IZO.WA | Izolacja Jarocin SA | Warsaw Stock Exchange
IZS.WA | Izostal SA | Warsaw Stock Exchange
JAGP.WA^J12 | Firma Handlowa Jago SA w upadlosci likwidacyjnej | Warsaw Stock Exchange
JANTS.IS | Jantsa Jant Sanayi ve Ticaret AS | Istanbul Stock Exchange
JHM.WA^G20 | JHM Development SA | Warsaw Stock Exchange
JPRP.WA^D15 | Jupiter SA | Warsaw Stock Exchange
JRH.WA | JRH ASI SA | Warsaw Stock Exchange
JSW.WA | Jastrzebska Spolka Weglowa SA | Warsaw Stock Exchange
JWC.WA^J21 | JW Construction Holding SA | Warsaw Stock Exchange
KABL.WA^L10 | NKT SA | Warsaw Stock Exchange
KANP.WA^D21 | Zaklady Miesne Henryk Kania SA w upadlosci | Warsaw Stock Exchange
KAREL.IS | Karel Elektronik Sanayi ve Ticaret AS | Istanbul Stock Exchange
KARSN.IS | Karsan Otomotiv Sanayii ve Ticaret AS | Istanbul Stock Exchange
KARTN.IS | Kartonsan Karton Sanayi ve Ticaret AS | Istanbul Stock Exchange
KAYSE.IS | Kayseri Seker Fabrikasi AS | Istanbul Stock Exchange
KBD.WA^G22 | Korporacja Budowlana Dom SA w likwidacji | Warsaw Stock Exchange
KBM.WA^A14 | OTP banka dd | Warsaw Stock Exchange
KCAER.IS | Kocaer Celik Sanayi ve Ticaret AS | Istanbul Stock Exchange
KCH.WA | Krakchemia SA | Warsaw Stock Exchange
KCHOL.IS | Koc Holding AS | Istanbul Stock Exchange
KCI.WA | KCI SA | Warsaw Stock Exchange
KDM.WA | KDM Shipping Public Ltd | Warsaw Stock Exchange
KER.WA | Kernel Holding SA | Warsaw Stock Exchange
KFL.WA^C16 | Kofola SA | Warsaw Stock Exchange
KGH.WA | KGHM Polska Miedz SA | Warsaw Stock Exchange
KGLP.WA | Kgl SA | Warsaw Stock Exchange
KGN.WA | Zespol Elektrocieplowni Wroclawskich Kogeneracja SA | Warsaw Stock Exchange
KILER.IS^A16 | Kiler Alisveris Hizmetleri Gida Sanayi ve Ticaret AS | Istanbul Stock Exchange
KIPA.IS^I18 | Kipa Ticaret AS | Istanbul Stock Exchange
KLGYO.IS | Kiler Gayrimenkul Yatirim Ortakligi AS | Istanbul Stock Exchange
KLMSN.IS | Klimasan Klima Sanayi ve Ticaret AS | Istanbul Stock Exchange
KLRHO.IS | Kiler Holding AS | Istanbul Stock Exchange
KLSER.IS | Kaleseramik Canakkale Kalebodur Seramik Sanayi AS | Istanbul Stock Exchange
KMP.WA | Przedsiebiorstwo Produkcyjno Handlowe Kompap SA | Warsaw Stock Exchange
KMPUR.IS | Kimteks Poliuretan Sanayi ve Ticaret AS | Istanbul Stock Exchange
KOFOL.PR | Kofola CeskoSlovensko as | Prague Stock Exchange
KOFP.WA^F17 | Kofola CeskoSlovensko as | Warsaw Stock Exchange
KOMP.WA | Komputronik SA | Warsaw Stock Exchange
KONTR.IS | Kontrolmatik Teknoloji Enerji ve Muhendislik AS | Istanbul Stock Exchange
KONU.BU^G19 | Konzum Befektetesi es Vagyonkezelo Nyrt | Budapest Stock Exchange
KONYA.IS | Konya Cimento Sanayii AS | Istanbul Stock Exchange
KORDS.IS | Kordsa Teknik Tekstil AS | Istanbul Stock Exchange
KPD.WA | Koszalinskie Przedsiebiorstwo Przemyslu Drzewnego SA | Warsaw Stock Exchange
KPL.WA | Kino Polska TV SA | Warsaw Stock Exchange
KRB.WA^A13 | Kredyt Bank SA | Warsaw Stock Exchange
KRCP.WA^L22 | Sibelco Green Solutions Poland SA | Warsaw Stock Exchange
KRDMD.IS | Kardemir Karabuk Demir Celik Sanayi ve Ticaret AS | Istanbul Stock Exchange
KRIP.WA^G25 | Kredyt Inkaso SA | Warsaw Stock Exchange
KRK.WA | Krka dd Novo Mesto | Warsaw Stock Exchange
KRONT.IS | Kron Teknoloji AS | Istanbul Stock Exchange
KRSP.WA^D18 | Kerdos Group SA w restrukturyzacji | Warsaw Stock Exchange
KRU.WA | Kruk SA | Warsaw Stock Exchange
KRVGD.IS | Kervan Gida Sanayi ve Ticaret AS | Istanbul Stock Exchange
KSG.WA | KSG Agro SA | Warsaw Stock Exchange
KST.WA^F20 | Konsorcjum Stali SA | Warsaw Stock Exchange
KSWP.WA^F21 | Zaklady Tluszczowe Kruszwica SA | Warsaw Stock Exchange
KTLEV.IS | Katilimevim Tasarruf Finansman AS | Istanbul Stock Exchange
KTY.WA | Grupa Kety SA | Warsaw Stock Exchange
KUYAS.IS | Kuyas Yatirim AS | Istanbul Stock Exchange
KVT.WA | Krynica Vitamin SA | Warsaw Stock Exchange
KZBGY.IS | Kizilbuk Gayrimenkul Yatirim Ortakligi AS | Istanbul Stock Exchange
KZS.WA^L20 | Krezus SA | Warsaw Stock Exchange
LBTA.WA | Libet SA | Warsaw Stock Exchange
LBW.WA | Lubawa SA | Warsaw Stock Exchange
LENP.WA | Lena Lighting SA | Warsaw Stock Exchange
LES.WA | Less SA | Warsaw Stock Exchange
LIDER.IS | LDR Turizm AS | Istanbul Stock Exchange
LKD.WA | Lokum Deweloper SA | Warsaw Stock Exchange
LMKDC.IS | Limak Dogu Anadolu Cimento Sanayi ve Ticaret AS | Istanbul Stock Exchange
LOGO.IS | Logo Yazilim Sanayi ve Ticaret AS | Istanbul Stock Exchange
LPPP.WA | LPP SA | Warsaw Stock Exchange
LRK.WA^H25 | Lark.pl SA | Warsaw Stock Exchange
LRQ.WA | Larq SA | Warsaw Stock Exchange
LRSHO.IS | Loras Holding AS | Istanbul Stock Exchange
LSIS.WA | LSI Software SA | Warsaw Stock Exchange
LTSP.WA^H22 | Grupa Lotos SA | Warsaw Stock Exchange
LTX.WA | Lentex SA | Warsaw Stock Exchange
LWBP.WA | Lubelski Wegiel Bogdanka SA | Warsaw Stock Exchange
MABP.WA | Mabion SA | Warsaw Stock Exchange
MAG.WA^L16 | BFF Polska SA | Warsaw Stock Exchange
MAGEN.IS | Margun Enerji Uretim Sanayi ve Ticaret AS | Istanbul Stock Exchange
MAKP.WA | Makarony Polskie SA | Warsaw Stock Exchange
MAN1.WA | Manydev Studio SE | Warsaw Stock Exchange
MARTI.IS | Marti Otel Isletmeleri AS | Istanbul Stock Exchange
MAST.BU | Masterplast Nyrt | Budapest Stock Exchange
MAVI.IS | Mavi Giyim Sanayi ve Ticaret AS | Istanbul Stock Exchange
MBHJB.BU | MBH Jelzalogbank Nyrt | Budapest Stock Exchange
MBK.WA | mBank SA | Warsaw Stock Exchange
MBR.WA | Mo-Bruk SA | Warsaw Stock Exchange
MBW.WA | Marie Brizard Wine and Spirits SA | Warsaw Stock Exchange
MCI.WA | MCI Capital Alternatywna Spolka Inwestycyjna SA | Warsaw Stock Exchange
MCLP.WA^J17 | Macrologic SA | Warsaw Stock Exchange
MCPP.WA^C22 | Mediacap Sp z o o | Warsaw Stock Exchange
MCRP.WA | mcr SA | Warsaw Stock Exchange
MDG.WA | Medicalgorithmics SA | Warsaw Stock Exchange
MDIP.WA | MDI Energia SA | Warsaw Stock Exchange
MDSP.WA^H16 | Midas SA | Warsaw Stock Exchange
MDVP.WA | Modivo SA | Warsaw Stock Exchange
METRO.IS | Metro Ticari ve Mali Yatirimlar Holding AS | Istanbul Stock Exchange
MEXP.WA | Mex Polska SA | Warsaw Stock Exchange
MFO.WA | MFO SA | Warsaw Stock Exchange
MGROS.IS | Migros Ticaret AS | Istanbul Stock Exchange
MGTP.WA | Mangata Holding SA | Warsaw Stock Exchange
MIATK.IS | Mia Teknoloji AS | Istanbul Stock Exchange
MILP.WA | Bank Millennium SA | Warsaw Stock Exchange
MIP.WA^B14 | Partner in Pet Food Poland SA | Warsaw Stock Exchange
MIR.WA | Miraculum SA | Warsaw Stock Exchange
MLGP.WA | Mlp Group SA | Warsaw Stock Exchange
MLK.WA | Mlk Foods Public Company Ltd | Warsaw Stock Exchange
MLSP.WA | ML System SA | Warsaw Stock Exchange
MMPA.WA^K11 | Multimedia Polska Sp z o o | Warsaw Stock Exchange
MNCP.WA | Mennica Polska SA | Warsaw Stock Exchange
MNDRS.IS | Menderes Tekstil Sanayi ve Ticaret AS | Istanbul Stock Exchange
MNDTR.IS | Mondi Turkey Oluklu Mukavva Kagit ve Ambalaj Sanayi AS | Istanbul Stock Exchange
MNI.WA^J18 | Mni SA | Warsaw Stock Exchange
MOCP.WA | Molecure SA | Warsaw Stock Exchange
MOJ.WA | Moj SA | Warsaw Stock Exchange
MOLB.BU | MOL Magyar Olaj es Gazipari Nyrt | Budapest Stock Exchange
MOLP.WA | MOL Magyar Olaj es Gazipari Nyrt | Warsaw Stock Exchange
MONET.PR | Moneta Money Bank as | Prague Stock Exchange
MONP.WA | Monnari Trade SA | Warsaw Stock Exchange
MOVP.WA | Movie Games SA | Warsaw Stock Exchange
MPARK.IS | MLP Saglik Hizmetleri AS | Istanbul Stock Exchange
MPH.WA^I22 | Master Pharm SA | Warsaw Stock Exchange
MRB.WA | Mirbud SA | Warsaw Stock Exchange
MRCP.WA | Mercator Medical SA | Warsaw Stock Exchange
MRSHL.IS | Marshall Boya ve Vernik Sanayi AS | Istanbul Stock Exchange
MSO.WA^A15 | Mieszko SA | Warsaw Stock Exchange
MSP.WA | Mostostal Plock SA | Warsaw Stock Exchange
MSWP.WA | Mostostal Warszawa SA | Warsaw Stock Exchange
MSX.WA^D16 | MSX Resources SA | Warsaw Stock Exchange
MSZ.WA | Mostostal Zabrze SA | Warsaw Stock Exchange
MTEL.BU | Magyar Telekom Telecommunications Public Ltd Co | Budapest Stock Exchange
MTLP.WA^K20 | Mediatel SA | Warsaw Stock Exchange
MURP.WA | Murapol SA | Warsaw Stock Exchange
MUTLU.IS^C15 | Mutlu Aku ve Malzemeleri Sanayii AS | Istanbul Stock Exchange
MVPP.WA | Marvipol Development SA | Warsaw Stock Exchange
MWTP.WA | MW Trade SA | Warsaw Stock Exchange
MXC1.WA | MaxCom SA | Warsaw Stock Exchange
MZA.WA | Muza SA | Warsaw Stock Exchange
MZN.WA^I20 | MZN Property SA | Warsaw Stock Exchange
NAFW.WA^B11 | Naftobudowa SA | Warsaw Stock Exchange
NBLA.WA^F12 | Getin Noble Bank SA | Warsaw Stock Exchange
NCLP.WA | Noctiluca SA | Warsaw Stock Exchange
NCT.WA^L20 | North Coast SA | Warsaw Stock Exchange
NEMA.WA^F19 | Netmedia SA | Warsaw Stock Exchange
NEPE.WA^L10 | Nepentes SA | Warsaw Stock Exchange
NET.WA^L21 | Netia Sa | Warsaw Stock Exchange
NETAS.IS | Netas Telekomunikasyon AS | Istanbul Stock Exchange
NEUP.WA | Neuca SA | Warsaw Stock Exchange
NNG.WA | Nanogroup SA | Warsaw Stock Exchange
NOVI.WA^L11 | Novitus SA | Warsaw Stock Exchange
NTCP.WA | New Tech Capital SA | Warsaw Stock Exchange
NTHOL.IS | Net Holding AS | Istanbul Stock Exchange
NTT.WA | NTT System SA | Warsaw Stock Exchange
NTTUR.IS^J17 | Net Turizm Ticaret ve Sanayi AS | Istanbul Stock Exchange
NTUP.WA | Novaturas AB | Warsaw Stock Exchange
NUGYO.IS | Nurol Gayrimenkul Yatirim Ortakligi AS | Istanbul Stock Exchange
NUHCM.IS | Nuh Cimento Sanayi AS | Istanbul Stock Exchange
NVAP.WA | PA Nova SA | Warsaw Stock Exchange
NVGP.WA | Novavis Group SA | Warsaw Stock Exchange
NVT.WA | Novita SA | Warsaw Stock Exchange
NWGP.WA | Newag SA | Warsaw Stock Exchange
NWNP.WA^J12 | New World Resources PLC | Warsaw Stock Exchange
NWR.WA^L19 | New World Resources PLC | Warsaw Stock Exchange
NWRR.PR^L19 | New World Resources PLC | Prague Stock Exchange
NWRS.PR^F11 | New World Resources PLC | Prague Stock Exchange
NXGP.WA | Nexity Global SA | Warsaw Stock Exchange
O2O.WA^G15 | One-2-One SA | Warsaw Stock Exchange
OBAMS.IS | Oba Makarnacilik Sanayi ve Ticaret AS | Istanbul Stock Exchange
OBL.WA | Orzel Bialy SA | Warsaw Stock Exchange
ODAS.IS | Odas Elektrik Uretim Sanayi Ticaret AS | Istanbul Stock Exchange
ODL.WA | Odlewnie Polskie SA | Warsaw Stock Exchange
OEG.WA^I17 | Olympic Entertainment Group AS | Warsaw Stock Exchange
OEXP.WA^K24 | OEX SA | Warsaw Stock Exchange
OILP.WA^L18 | Petrolinvest SA | Warsaw Stock Exchange
OMLP.WA | One More Level SA | Warsaw Stock Exchange
ONDP.WA | Onde SA | Warsaw Stock Exchange
ONO.WA | Onesano SA | Warsaw Stock Exchange
OPF.WA^B23 | Open Finance SA w upadlosci | Warsaw Stock Exchange
OPGP.WA | Cpi Fim SA | Warsaw Stock Exchange
OPL.WA | Orange Polska SA | Warsaw Stock Exchange
OPMP.WA | OPTeam SA | Warsaw Stock Exchange
OPN.WA | Oponeo.pl SA | Warsaw Stock Exchange
OPTP.WA^F10 | Canon Ophthalmic Technologies Sp z o o | Warsaw Stock Exchange
OPUSG.BU | Opus Global Nyrt | Budapest Stock Exchange
ORBP.WA^F20 | Essendi Poland SA | Warsaw Stock Exchange
ORCO.BU^K11 | Cpi Fim SA | Budapest Stock Exchange
ORCO.PR^J15 | Cpi Fim SA | Prague Stock Exchange
ORNP.WA^F20 | Orion Investment SA | Warsaw Stock Exchange
OTKAR.IS | Otokar Otomotiv ve Savunma Sanayi AS | Istanbul Stock Exchange
OTMP.WA | Zaklady Przemyslu Cukierniczego Otmuchow SA | Warsaw Stock Exchange
OTPB.BU | OTP Bank Nyrt | Budapest Stock Exchange
OTSL.WA | OT Logistics SA | Warsaw Stock Exchange
OVO.WA^C25 | Ovostar Union NV | Warsaw Stock Exchange
OYAKC.IS | Oyak Cimento Fabrikalari AS | Istanbul Stock Exchange
OZGYO.IS | Ozderici Gayrimenkul Yatirim Ortakligi AS | Istanbul Stock Exchange
OZKGY.IS | Ozak Gayrimenkul Yatirim Ortakligi AS | Istanbul Stock Exchange
PANP.BU | PannErgy Nyrt | Budapest Stock Exchange
PAPIL.IS | Papilon Savunma Teknoloji ve Ticaret AS | Istanbul Stock Exchange
PARSN.IS | Parsan Makina Parcalari Sanayii AS | Istanbul Stock Exchange
PAS1.WA | Passus SA | Warsaw Stock Exchange
PASEU.IS | Pasifik Eurasia Lojistik Dis Ticaret AS | Istanbul Stock Exchange
PAT.WA | Patentus SA | Warsaw Stock Exchange
PATEK.IS | Pasifik Teknoloji AS | Istanbul Stock Exchange
PBF.WA | PBS Finanse SA | Warsaw Stock Exchange
PBGG.WA | PBG SA w restrukturyzacji w likwidacji | Warsaw Stock Exchange
PBK.BX | Patria Bank SA | The Bucharest Stock Exchange
PBO.WA^K15 | PBO Aniola SA w upadlosci likwidacyjnej | Warsaw Stock Exchange
PBX.WA | Poznanska Korporacja Budowlana Pekabex SA | Warsaw Stock Exchange
PCE.WA | Grupa Azoty Zaklady Chemiczne Police SA | Warsaw Stock Exchange
PCF1.WA | PCF Group SA | Warsaw Stock Exchange
PCGP.WA^B24 | PC Guard SA | Warsaw Stock Exchange
PCIP.WA^I18 | PCC Intermodal SA | Warsaw Stock Exchange
PCMP.WA^J19 | Prime Car Management SA | Warsaw Stock Exchange
PCOP.WA | Pepco Group NV | Warsaw Stock Exchange
PCR.WA | PCC Rokita SA | Warsaw Stock Exchange
PCXP.WA | PCC Exol SA | Warsaw Stock Exchange
PEKA.WA^A17 | Pekaes SA | Warsaw Stock Exchange
PEKGY.IS | Peker Gayrimenkul Yatirim Ortakligi AS | Istanbul Stock Exchange
PELIO.WA^I17 | Pelion SA | Warsaw Stock Exchange
PEM.WA^F21 | Private Equity Managers SA | Warsaw Stock Exchange
PENP.PR | Photon Energy NV | Prague Stock Exchange
PENP.WA | Photon Energy NV | Warsaw Stock Exchange
PENTA.IS | Penta Teknoloji Urunleri Dagitim Ticaret AS | Istanbul Stock Exchange
PEO.WA | Bank Polska Kasa Opieki SA | Warsaw Stock Exchange
PEPP.WA | Polenergia SA | Warsaw Stock Exchange
PETKM.IS | Petkim Petrokimya Holding AS | Istanbul Stock Exchange
PETUN.IS | Pinar Entegre Et ve Un Sanayii AS | Istanbul Stock Exchange
PEX.WA^E21 | Peixin International Group NV | Warsaw Stock Exchange
PFLP.WA^K19 | Pfleiderer Group BV & Co KG | Warsaw Stock Exchange
PGDP.WA^A18 | Paged SA | Warsaw Stock Exchange
PGE.WA | PGE Polska Grupa Energetyczna SA | Warsaw Stock Exchange
PGMP.WA | PMPG Polskie Media SA | Warsaw Stock Exchange
PGN.WA^K22 | Polskie Gornictwo Naftowe i Gazownictwo SA | Warsaw Stock Exchange
PGO.WA^D21 | PGO SA | Warsaw Stock Exchange
PGSN.PR^C21 | PFNonwovens as | Prague Stock Exchange
PGSP.WA^I17 | PFNonwovens as | Warsaw Stock Exchange
PGSUS.IS | Pegasus Hava Tasimaciligi AS | Istanbul Stock Exchange
PGVP.WA | PGF Polska Grupa Fotowoltaiczna SA | Warsaw Stock Exchange
PHN.WA | Polski Holding Nieruchomosci SA | Warsaw Stock Exchange
PHR.WA | Pharmena SA | Warsaw Stock Exchange
PINK.PR | Pilulka Lekarny as | Prague Stock Exchange
PJP.WA | PJP Makrum SA | Warsaw Stock Exchange
PKN.WA | Orlen SA | Warsaw Stock Exchange
PKO.WA | Powszechna Kasa Oszczednosci Bank Polski SA | Warsaw Stock Exchange
PKPP.WA | PKP Cargo SA w restrukturyzacji | Warsaw Stock Exchange
PLAPP.WA^K17 | Zaklady Automatyki Polna SA | Warsaw Stock Exchange
PLG.PR^G16 | Pivovary Lobkowicz Group as | Prague Stock Exchange
PLJ.WA^H13 | Polskie Jadlo SA w upadlosci likwidacyjnej | Warsaw Stock Exchange
PLTP.WA^G17 | Marazzi Poland Sp z o o | Warsaw Stock Exchange
PLWP.WA | Playway SA | Warsaw Stock Exchange
PLX.WA^D22 | Przetworstwo Tworzyw Sztucznych Plast Box SA | Warsaw Stock Exchange
PLY.WA^D21 | Play Communications SA | Warsaw Stock Exchange
PLZ.WA | Plaza Centers NV | Warsaw Stock Exchange
PMA.WA | Prima Moda SA | Warsaw Stock Exchange
PMDP.WA^L13 | Permedia Sp z o o | Warsaw Stock Exchange
PMGP.WA^D19 | PME SA | Warsaw Stock Exchange
PNDP.WA^I21 | WWA Development SA | Warsaw Stock Exchange
PNSUT.IS | Pinar Sut Mamulleri Sanayii AS | Istanbul Stock Exchange
POLA.WA^J11 | Polrest SA w likwidacji | Warsaw Stock Exchange
POLHO.IS | Polisan Holding AS | Istanbul Stock Exchange
POLM.WA^F16 | Polymetal SA | Warsaw Stock Exchange
PPSP.WA | Przedsiebiorstwo Przemyslu Spozywczego PEPEES SA | Warsaw Stock Exchange
PQA.WA^L13 | Polaqua Sp z o o | Warsaw Stock Exchange
PRCP.WA^A19 | Prochnik SA w upadlosci | Warsaw Stock Exchange
PRD.WA^G22 | Procad SA | Warsaw Stock Exchange
PRF.WA^I21 | PragmaGO SA | Warsaw Stock Exchange
PRIP.WA | NPL Nova SA | Warsaw Stock Exchange
PRIUA.PR | Primoco UAV SE | Prague Stock Exchange
PRKAB.IS | Turk Prysmian Kablo ve Sistemleri AS | Istanbul Stock Exchange
PRKME.IS | Park Elektrik Uretim Madencilik Sanayi ve Ticaret AS | Istanbul Stock Exchange
PRMP.WA | Prochem SA | Warsaw Stock Exchange
PRTE.WA | Protektor SA | Warsaw Stock Exchange
PSGYO.IS | Pasifik Gayrimenkul Yatirim Ortakligi AS | Istanbul Stock Exchange
PSW.WA^A22 | Xebia Sp z o o | Warsaw Stock Exchange
PTGP.WA | Poltreg SA | Warsaw Stock Exchange
PTHP.WA^C24 | Primetech SA | Warsaw Stock Exchange
PTOFS.IS^E15 | Petrol Ofisi AS | Istanbul Stock Exchange
PTW.WA | Polskie Towarzystwo Wspierania Przedsiebiorczosci SA | Warsaw Stock Exchange
PUEP.WA^C23 | ZPUE SA | Warsaw Stock Exchange
PUR1.WA | Pure Biologics SA | Warsaw Stock Exchange
PWXP.WA | Polwax SA | Warsaw Stock Exchange
PXMP.WA | Polimex Mostostal SA | Warsaw Stock Exchange
PZU.WA | Powszechny Zaklad Ubezpieczen SA | Warsaw Stock Exchange
QMK.WA^H19 | Qumak SA w upadlosci | Warsaw Stock Exchange
QNAP.WA | QNA Technology SA | Warsaw Stock Exchange
QNBFK.IS | Qnb Finansal Kiralama AS | Istanbul Stock Exchange
QNBTR.IS | Qnb Bank AS | Istanbul Stock Exchange
QNT.WA | Quantum Software SA | Warsaw Stock Exchange
QRS.WA | Quercus Towarzystwo Funduszy Inwestycyjnych SA | Warsaw Stock Exchange
QUAGR.IS | Qua Granite Hayal Yapi ve Urunleri Sanayi Ticaret AS | Istanbul Stock Exchange
RABA.BU | Raba Jarmuipari Holding Nyrt | Budapest Stock Exchange
RAFP.WA | Fabryka Obrabiarek Rafamet SA w restrukturyzacji | Warsaw Stock Exchange
RALYH.IS | Ral Yatirim Holding AS | Istanbul Stock Exchange
RBW.WA | Rainbow Tours SA | Warsaw Stock Exchange
