Total companii: 967
ticker | nume_complet | bursa
ASELS.IS | Aselsan Elektronik Sanayi ve Ticaret AS | Istanbul Stock Exchange
ASEP.WA | Asseco South Eastern Europe SA | Warsaw Stock Exchange
ASG.WA^K18 | Avia Solutions Group AB | Warsaw Stock Exchange
ASGYO.IS | Asce Gayrimenkul Yatirim Ortakligi AS | Istanbul Stock Exchange
ASMG.WA | ASM Group SA | Warsaw Stock Exchange
ASTH.WA | Astarta Holding PLC | Warsaw Stock Exchange
ASTOR.IS | Astor Enerji AS | Istanbul Stock Exchange
ASUZU.IS | Anadolu Isuzu Otomotiv Sanayii ve Ticaret AS | Istanbul Stock Exchange
ASYAB.IS^G16 | Asya Katilim Bankasi AS | Istanbul Stock Exchange
ATB.BX | Antibiotice SA | The Bucharest Stock Exchange
ATC.WA | Arctic Paper SA | Warsaw Stock Exchange
ATDP.WA | Atende SA | Warsaw Stock Exchange
ATGP.WA | ATM Grupa SA | Warsaw Stock Exchange
ATLP.WA^C23 | Atlas Estates Ltd | Warsaw Stock Exchange
ATMP.WA^J20 | Atman Sp z o o | Warsaw Stock Exchange
ATP.WA | Atlanta Poland SA | Warsaw Stock Exchange
ATRP.WA | Atrem SA | Warsaw Stock Exchange
ATSP.WA | Atlantis SE | Warsaw Stock Exchange
ATTP.WA | Grupa Azoty SA | Warsaw Stock Exchange
AUGP.WA^D22 | Auga Group AB | Warsaw Stock Exchange
AUTW.BU | AutoWallis Nyrt | Budapest Stock Exchange
AVOD.IS | AVOD Kurutulmus Gida ve Tarim Urunleri Sanayi Ticaret AS | Istanbul Stock Exchange
AVPGY.IS | Avrupakent Gayrimenkul Yatirim Ortakligi AS | Istanbul Stock Exchange
AVST.PR^I22 | Avast Ltd | Prague Stock Exchange
AWB.WA^D21 | Partnerbud SA w upadlosci | Warsaw Stock Exchange
AWM.WA | Airway Medix SA | Warsaw Stock Exchange
AYDEM.IS | Aydem Yenilenebilir Enerji AS | Istanbul Stock Exchange
AYEN.IS | Ayen Enerji AS | Istanbul Stock Exchange
AYGAZ.IS | Aygaz AS | Istanbul Stock Exchange
B24P.WA | Brand 24 SA | Warsaw Stock Exchange
B3S.WA^C18 | B3System SA | Warsaw Stock Exchange
BADP.WA^H17 | BACD SA | Warsaw Stock Exchange
BAGFS.IS | Bagfas Bandirma Gubre Fabrikalari AS | Istanbul Stock Exchange
BAHP.WA^F24 | British Automotive Holding w Upadlosci SA | Warsaw Stock Exchange
BAKP.WA^B15 | Foodwell Sp z o o | Warsaw Stock Exchange
BAL.WA^G20 | Przedsiebiorstwo Handlu Zagranicznego Baltona SA | Warsaw Stock Exchange
BALSU.IS | Balsu Gida Sanayi ve Ticaret AS | Istanbul Stock Exchange
BANVT.IS | Banvit Bandirma Vitaminli Yem Sanayi AS | Istanbul Stock Exchange
BAPL.WA^E10 | Bankier.pl SA | Warsaw Stock Exchange
BASGZ.IS | Baskent Dogalgaz Dagitim Gayrimenkul Yatirim Ortakligi AS | Istanbul Stock Exchange
BBD.WA | BBI Development SA | Warsaw Stock Exchange
BBT1.WA | Boombit SA | Warsaw Stock Exchange
BCMP.WA | Betacom SA | Warsaw Stock Exchange
BCSP.WA | Big Cheese Studio SA | Warsaw Stock Exchange
BCXP.WA | Bioceltix SA | Warsaw Stock Exchange
BDLP.WA^L19 | Budopol Wroclaw SA | Warsaw Stock Exchange
BDXP.WA | Budimex SA | Warsaw Stock Exchange
BERA.IS | Bera Holding AS | Istanbul Stock Exchange
BESLR.IS | Besler Gida ve Kimya Sanayi ve Ticaret AS | Istanbul Stock Exchange
BFREN.IS | Bosch Fren Sistemleri Sanayi ve Ticaret AS | Istanbul Stock Exchange
BFT.WA | Benefit Systems SA | Warsaw Stock Exchange
BHW.WA | Bank Handlowy w Warszawie SA | Warsaw Stock Exchange
BIENY.IS | Bien Yapi Urunleri Sanayi Turizm ve Ticaret AS | Istanbul Stock Exchange
BIFR.BU | Budapesti Ingatlan Hasznositasi es Fejlesztesi Nyrt | Budapest Stock Exchange
BIK.WA^I21 | Biuro Inwestycji Kapitalowych SA | Warsaw Stock Exchange
BIMAS.IS | BIM Birlesik Magazalar AS | Istanbul Stock Exchange
BINHO.IS | 1000 Yatirimlar Holding AS | Istanbul Stock Exchange
BIOEN.IS | Biotrend Cevre ve Enerji Yatirimlari AS | Istanbul Stock Exchange
BIOP.WA | Bioton SA | Warsaw Stock Exchange
BIP.WA | Bio Planet SA | Warsaw Stock Exchange
BIZIM.IS | Bizim Toptan Satis Magazalari AS | Istanbul Stock Exchange
BJKAS.IS | Besiktas Futbol Yatirimlari Sanayi ve Ticaret AS | Istanbul Stock Exchange
BKOM.PR | Komercni Banka as | Prague Stock Exchange
BLOP.WA | Bloober Team SA | Warsaw Stock Exchange
BMCP.WA | Bumech SA | Warsaw Stock Exchange
BMEKS.IS^D19 | Iflas Nedeniyle Tasfiye Halinde Bimeks Bilgi Islem Ve Dis Ticaret AS | Istanbul Stock Exchange
BMI.WA^I13 | Bomi SA w upadlosci likwidacyjnej | Warsaw Stock Exchange
BMX.WA | BioMaxima SA | Warsaw Stock Exchange
BNP.WA^E15 | BNP Paribas Bank Polska SA (PRE-MERGER) | Warsaw Stock Exchange
BNP1.WA | BNP Paribas Bank Polska SA | Warsaw Stock Exchange
BOBET.IS | Bogazici Beton Sanayi ve Ticaret AS | Istanbul Stock Exchange
BORY.WA | Boryszew SA | Warsaw Stock Exchange
BOSP.WA | Bank Ochrony Srodowiska SA | Warsaw Stock Exchange
BOWP.WA | Bowim SA | Warsaw Stock Exchange
BOYNR.IS^C17 | Boyner Buyuk Magazacilik AS | Istanbul Stock Exchange
BPHP.WA^L16 | Bank BPH SA | Warsaw Stock Exchange
BPMP.WA^E15 | Bipromet SA | Warsaw Stock Exchange
BRAR.WA^L25 | Braster SA | Warsaw Stock Exchange
BRG.WA^F23 | Berling SA | Warsaw Stock Exchange
BRISA.IS | Brisa Bridgestone Sabanci Lastik Sanayi ve Ticaret AS | Istanbul Stock Exchange
BRKP.WA^C14 | Barlinek SA | Warsaw Stock Exchange
BRSAN.IS | Borusan Birlesik Boru Fabrikalari Sanayi Ve Ticaret AS | Istanbul Stock Exchange
BRYAT.IS | Borusan Yatirim ve Pazarlama AS | Istanbul Stock Exchange
BSCP.WA^G20 | Gpi Poznan Sp z o o | Warsaw Stock Exchange
BSHEV.IS^B14 | BSH Ev Aletleri Sanayi ve Ticaret AS | Istanbul Stock Exchange
BSOKE.IS | Batisoke Soke Cimento Sanayii TAS | Istanbul Stock Exchange
BTCIM.IS | Baticim Bati Anadolu Cimento Sanayii AS | Istanbul Stock Exchange
BTM.WA^L18 | Bytom SA | Warsaw Stock Exchange
BUCIM.IS | Bursa Cimento Fabrikasi AS | Istanbul Stock Exchange
BUTL.BU^F15 | Business Telecom Nyrt fa | Budapest Stock Exchange
BWOP.WA^E19 | BUWOG Group GmbH | Warsaw Stock Exchange
CANTE.IS | Can2 Termik AS | Istanbul Stock Exchange
CAP1.WA | Capitea SA | Warsaw Stock Exchange
CARP.WA | Inter Cars SA | Warsaw Stock Exchange
CAVP.WA | Cavatina Holding SA | Warsaw Stock Exchange
CBF.WA | Cyber_Folks SA | Warsaw Stock Exchange
CCE1.WA | Clean&Carbon Energy SA | Warsaw Stock Exchange
CCOLA.IS | Coca-Cola Icecek AS | Istanbul Stock Exchange
CDLP.WA | CDRL SA | Warsaw Stock Exchange
CDR.WA | CD Projekt SA | Warsaw Stock Exchange
CEDC.WA^F13 | Roust Corp (Pre-Reincorporation) | Warsaw Stock Exchange
CELA.WA^H12 | Mondi Swiecie Sp z o o | Warsaw Stock Exchange
CEMAS.IS | Cemas Dokum Sanayi AS | Istanbul Stock Exchange
CEMTS.IS | Cemtas Celik Makina Sanayi ve Ticaret AS | Istanbul Stock Exchange
CETV.PR^J20 | Central European Media Enterprises Ltd | Prague Stock Exchange
CEZ.WA | CEZ as | Warsaw Stock Exchange
CEZP.PR | CEZ as | Prague Stock Exchange
CFIP.WA | CFI Holding SA | Warsaw Stock Exchange
CFLP.WA^J17 | Cash Flow SA | Warsaw Stock Exchange
CHSA.WA^C20 | Chemoservis-Dwory SA w upadlosci | Warsaw Stock Exchange
CIEP.WA^C24 | Qemetica SA | Warsaw Stock Exchange
CIG.WA | CI Games SE | Warsaw Stock Exchange
CIGP.BU | CIG Pannonia Eletbiztosito Nyrt | Budapest Stock Exchange
CIMSA.IS | Cimsa Cimento Sanayi ve Ticaret AS | Istanbul Stock Exchange
CKL.WA^K12 | Centrum Klima SA | Warsaw Stock Exchange
CLC.WA | Columbus Energy SA | Warsaw Stock Exchange
CLDP.WA | Cloud Technologies SA | Warsaw Stock Exchange
CLEBI.IS | Celebi Hava Servisi AS | Istanbul Stock Exchange
CLEP.WA | Coal Energy SA | Warsaw Stock Exchange
CLNP.WA | Celon Pharma SA | Warsaw Stock Exchange
CMP.WA | Comp SA | Warsaw Stock Exchange
CMR.WA^C25 | Comarch SA | Warsaw Stock Exchange
CNG.WA^C21 | Ceramika Nowa Gala SA | Warsaw Stock Exchange
CNT.WA^E23 | Centrum Nowoczesnych Technologii SA | Warsaw Stock Exchange
COGP.WA | Cognor Holding SA | Warsaw Stock Exchange
COLIA.WA^I18 | Colian Holding Sp z o o | Warsaw Stock Exchange
COMI.BX | Condmag SA | The Bucharest Stock Exchange
COTE.BX | Conpet SA | The Bucharest Stock Exchange
CPAP.WA | Capital Partners SA w likwidacji | Warsaw Stock Exchange
CPD.WA | CPD SA | Warsaw Stock Exchange
CPGP.WA^I23 | CP Strategic Assets SA | Warsaw Stock Exchange
CPI1.WA | CPI Europe AG | Warsaw Stock Exchange
CPLP.WA | Comperia.pl SA | Warsaw Stock Exchange
CPRP.WA | Compremum SA | Warsaw Stock Exchange
CPS.WA | Cyfrowy Polsat SA | Warsaw Stock Exchange
CRFSA.IS | CarrefourSA Carrefour Sabanci Ticaret Merkezi AS | Istanbul Stock Exchange
CRI1.WA | Creotech Instruments SA | Warsaw Stock Exchange
CRJ.WA | Creepy Jar SA | Warsaw Stock Exchange
CRM.WA | PZ Cormay SA | Warsaw Stock Exchange
CSRP.WA | Caspar Asset Management SA | Warsaw Stock Exchange
CTCP.WA^L19 | Calatrava Capital SA | Warsaw Stock Exchange
CTGP.WA^F20 | Cube.ITG SA | Warsaw Stock Exchange
CTSP.WA | City Service SE | Warsaw Stock Exchange
CTXP.WA | Captor Therapeutics SA | Warsaw Stock Exchange
CVKMD.IS | Cvk Maden Isletmeleri Sanayi ve Ticaret AS | Istanbul Stock Exchange
CWENE.IS | Cw Enerji Muhendislik Ticaret ve Sanayi AS | Istanbul Stock Exchange
CZG.PR | Colt CZ Group SE | Prague Stock Exchange
DADP.WA | Dadelo SA | Warsaw Stock Exchange
DAFR.BX^F24 | Dafora SA | The Bucharest Stock Exchange
DANH.BU^I15 | Danubius Szalloda es Gyogyudulo Zrt | Budapest Stock Exchange
DAPGM.IS | Dap Gayrimenkul Gelistirme AS | Istanbul Stock Exchange
DATP.WA | Datawalk SA | Warsaw Stock Exchange
DBC.WA | Firma Oponiarska Debica SA | Warsaw Stock Exchange
DBE.WA | DB Energy SA | Warsaw Stock Exchange
DCR.WA | Decora SA | Warsaw Stock Exchange
DEK.WA | Dekpol SA | Warsaw Stock Exchange
DELP.WA | Delko SA | Warsaw Stock Exchange
DELTA.BU | Delta Group Nyrt | Budapest Stock Exchange
DEVA.IS | Deva Holding AS | Istanbul Stock Exchange
DGA.WA | DGA SA | Warsaw Stock Exchange
DGATE.IS | Datagate Bilgisayar Malzemeleri Ticaret AS | Istanbul Stock Exchange
